,country,continent_name,monthly_internet_cost_2018,internet_percent_of_population,population_2018,population_2024,gni_2018,gni_2024,annual_internet_cost_2018,annual_cost_percent_GNI_2018,annual_internet_cost_2024,annual_cost_percent_GNI_2024,sat_annual_cost_per_gni_2018,sat_annual_cost_per_gni_2024
0,Algeria,Africa,25.93,0.595797,41900000.0,46300000.0,4150.0,3600.0,311.15999999999997,0.07497831325301205,419.1913787826228,0.11644204966183966,0.17349397590361446,0.23
1,Angola,Africa,59.04,0.143391,31300000.0,37800000.0,3340.0,2100.0,708.48,0.2121197604790419,954.4565755235652,0.4545031312016977,0.2155688622754491,0.3942857142857143
2,Benin,Africa,59.34,0.2,11900000.0,14100000.0,1250.0,1450.0,712.08,0.5696640000000001,959.3064564967542,0.661590659652934,0.576,0.5710344827586207
3,Botswana,Africa,112.38,0.47,2450000.0,2720000.0,7820.0,7500.0,1348.56,0.17245012787723785,1816.7654125565425,0.24223538834087233,0.09207161125319693,0.1104
4,Burundi,Africa,283.73,0.0266075,11500000.0,13600000.0,260.0,234.0,3404.76,13.09523076923077,4586.855761742907,19.601947699756014,2.769230769230769,3.5384615384615383
5,Cameroon,Africa,60.47,0.23203,25100000.0,29400000.0,1550.0,1640.0,725.64,0.4681548387096774,977.5743414957657,0.5960819155461986,0.4645161290322581,0.5048780487804878
6,Comoros,Africa,98.23,0.0847817,776000.0,868000.0,1430.0,1360.0,1178.76,0.8243076923076923,1588.0126933211352,1.1676563921478935,0.5034965034965035,0.6088235294117647
7,Cote d'Ivoire,Africa,66.12,0.468237,25500000.0,29600000.0,2270.0,2630.0,793.44,0.3495330396475771,1068.9137664908221,0.40643108992046467,0.31718061674008813,0.314828897338403
8,Djibouti,Africa,95.07,0.556814,1060000.0,1150000.0,3130.0,3690.0,1140.84,0.36448562300319487,1536.927280403546,0.416511458103942,0.23003194888178913,0.22439024390243903
9,Egypt,Africa,13.82,0.469243,104000000.0,114000000.0,2910.0,3350.0,165.84,0.056989690721649486,223.41785016489965,0.06669189557161183,0.24742268041237114,0.2471641791044776
10,Equatorial Guinea,Africa,259.38,0.2624,1500000.0,1750000.0,7010.0,4890.0,3112.56,0.4440171184022825,4193.207089419078,0.8575065622533903,0.10271041369472182,0.16932515337423312
11,Eswatini,Africa,21.73,0.47,1160000.0,1220000.0,3770.0,3450.0,260.76,0.06916710875331565,351.29304515797884,0.10182407106028372,0.1909814323607427,0.24
12,Ethiopia,Africa,71.15,0.186181,111000000.0,130000000.0,833.0,1080.0,853.8000000000001,1.0249699879951981,1150.2301041412886,1.0650278742048969,0.8643457382953181,0.7666666666666667
13,Gabon,Africa,77.91,0.62,2190000.0,2480000.0,7110.0,7460.0,934.92,0.13149367088607594,1259.514088737144,0.16883566873152064,0.10126582278481013,0.11099195710455764
14,Ghana,Africa,69.54,0.39,30900000.0,34800000.0,2210.0,2580.0,834.48,0.37759276018099547,1124.202409585175,0.4357373680562694,0.3257918552036199,0.3209302325581395
15,Kenya,Africa,56.11,0.178271,50000000.0,56200000.0,1750.0,2160.0,673.3199999999999,0.38475428571428566,907.0894046854208,0.4199487984654726,0.4114285714285714,0.38333333333333336
16,Lesotho,Africa,94.04,0.29,2200000.0,2360000.0,1280.0,1200.0,1128.48,0.881625,1520.2760223955977,1.2668966853296648,0.5625,0.69
17,Libya,Africa,51.97,0.217589,6480000.0,6960000.0,7080.0,12300.0,623.64,0.08808474576271186,840.1610472554147,0.06830577619962722,0.1016949152542373,0.06731707317073171
18,Madagascar,Africa,67.21,0.098,26800000.0,31100000.0,521.0,512.0,806.52,1.5480230326295585,1086.535000693408,2.1221386732293124,1.381957773512476,1.6171875
19,Mali,Africa,59.34,0.13,19900000.0,24000000.0,864.0,897.0,712.08,0.8241666666666667,959.3064564967542,1.0694609325493358,0.8333333333333334,0.9230769230769231
20,Mauritania,Africa,694.63,0.20801,4270000.0,4990000.0,1710.0,1870.0,8335.56,4.87459649122807,11229.576068020564,6.005120891989606,0.42105263157894735,0.44278074866310163
