,country,continent_name,monthly_internet_cost_2018,internet_percent_of_population,population_2018,population_2024,gni_2018,gni_2024
0,Algeria,Africa,25.93,0.595797,41900000.0,46300000.0,4150.0,3600.0
1,Angola,Africa,59.04,0.143391,31300000.0,37800000.0,3340.0,2100.0
2,Benin,Africa,59.34,0.2,11900000.0,14100000.0,1250.0,1450.0
3,Botswana,Africa,112.38,0.47,2450000.0,2720000.0,7820.0,7500.0
4,Burundi,Africa,283.73,0.0266075,11500000.0,13600000.0,260.0,234.0
5,Cameroon,Africa,60.47,0.23203,25100000.0,29400000.0,1550.0,1640.0
6,Comoros,Africa,98.23,0.0847817,776000.0,868000.0,1430.0,1360.0
7,Cote d'Ivoire,Africa,66.12,0.468237,25500000.0,29600000.0,2270.0,2630.0
8,Djibouti,Africa,95.07,0.556814,1060000.0,1150000.0,3130.0,3690.0
9,Egypt,Africa,13.82,0.469243,104000000.0,114000000.0,2910.0,3350.0
10,Equatorial Guinea,Africa,259.38,0.2624,1500000.0,1750000.0,7010.0,4890.0
11,Eswatini,Africa,21.73,0.47,1160000.0,1220000.0,3770.0,3450.0
12,Ethiopia,Africa,71.15,0.186181,111000000.0,130000000.0,833.0,1080.0
13,Gabon,Africa,77.91,0.62,2190000.0,2480000.0,7110.0,7460.0
14,Ghana,Africa,69.54,0.39,30900000.0,34800000.0,2210.0,2580.0
15,Kenya,Africa,56.11,0.178271,50000000.0,56200000.0,1750.0,2160.0
16,Lesotho,Africa,94.04,0.29,2200000.0,2360000.0,1280.0,1200.0
17,Libya,Africa,51.97,0.217589,6480000.0,6960000.0,7080.0,12300.0
18,Madagascar,Africa,67.21,0.098,26800000.0,31100000.0,521.0,512.0
19,Mali,Africa,59.34,0.13,19900000.0,24000000.0,864.0,897.0
20,Mauritania,Africa,694.63,0.20801,4270000.0,4990000.0,1710.0,1870.0
21,Mauritius,Africa,50.3,0.585962,1300000.0,1300000.0,12800.0,12400.0
22,Morocco,Africa,33.81,0.648039,35900000.0,38200000.0,3220.0,3350.0
23,Mozambique,Africa,175.25,0.1,29400000.0,34900000.0,479.0,534.0
24,Namibia,Africa,133.38,0.51,2410000.0,2650000.0,5120.0,4490.0
25,Niger,Africa,55.07,0.0525049,22600000.0,28200000.0,594.0,678.0
26,Nigeria,Africa,78.21,0.42,198000000.0,229000000.0,2040.0,1990.0
27,Senegal,Africa,38.82,0.46,15600000.0,18200000.0,1450.0,1730.0
28,Seychelles,Africa,122.72,0.587698,103000.0,108000.0,16400.0,13500.0
29,South Africa,Africa,44.77,0.561674,57300000.0,61000000.0,6600.0,6110.0
30,Tanzania,Africa,188.16,0.25,58100000.0,69400000.0,1070.0,1130.0
31,Togo,Africa,45.91,0.123602,8050000.000000001,9260000.0,916.0,1000.0
32,Tunisia,Africa,14.28,0.641908,11900000.0,12600000.0,3880.0,3520.0
33,Zimbabwe,Africa,63.87,0.270555,15100000.0,17000000.0,1410.0,1180.0
34,Afghanistan,Asia,25.87,0.135,36700000.0,43400000.0,531.0,539.0
35,Armenia,Asia,14.6,0.647449,2840000.0,2780000.0,4420.0,4860.0
36,Bahrain,Asia,145.89,0.986434,1490000.0,1500000.0,22900.0,20800.0
37,Bangladesh,Asia,27.35,0.15,164000000.0,175000000.0,1820.0,2630.0
38,Bhutan,Asia,10.42,0.481064,762000.0,792000.0,3090.0,3220.0
39,Brunei,Asia,157.02,0.946,434000.0,456000.0,30600.0,34000.0
40,Cambodia,Asia,32.63,0.4,16000000.0,17100000.0,1440.0,1800.0
41,China,Asia,31.41,0.543,1420000000.0,1430000000.0,9930.0,13300.0
42,"Hong Kong, China",Asia,47.35,0.894159,7480000.0,7500000.0,52100.0,54400.0
43,India,Asia,12.9,0.3445,1370000000.0,1440000000.0,2090.0,2540.0
44,Indonesia,Asia,30.02,0.397875,267000000.0,280000000.0,4000.0,4590.0
